Games,Year,Sport,Discipline,Athlete,Team,Gender,Event,Medal,Gold,Silver,Bronze
Athens (1896),1896,Aquatics,Swimming,Alfred Hajos,HUN,Men,100m freestyle men,Gold,1,0,0
Athens (1896),1896,Aquatics,Swimming,Otto Herschmann,AUT,Men,100m freestyle men,Silver,0,1,0
Athens (1896),1896,Aquatics,Swimming,Dimitrios Drivas,GRE,Men,100m freestyle for sailors men,Bronze,0,0,1
Athens (1896),1896,Aquatics,Swimming,Ioannis Malokinis,GRE,Men,100m freestyle for sailors men,Gold,1,0,0
Athens (1896),1896,Aquatics,Swimming,Spiridon Chasapis,GRE,Men,100m freestyle for sailors men,Silver,0,1,0
Athens (1896),1896,Aquatics,Swimming,Efstathios Chorophas,GRE,Men,1200m freestyle men,Bronze,0,0,1
Athens (1896),1896,Aquatics,Swimming,Alfred Hajos,HUN,Men,1200m freestyle men,Gold,1,0,0
Athens (1896),1896,Aquatics,Swimming,Joannis Andreou,GRE,Men,1200m freestyle men,Silver,0,1,0
Athens (1896),1896,Aquatics,Swimming,Efstathios Chorophas,GRE,Men,400m freestyle men,Bronze,0,0,1
Athens (1896),1896,Aquatics,Swimming,Paul Neumann,AUT,Men,400m freestyle men,Gold,1,0,0
Athens (1896),1896,Aquatics,Swimming,Antonios Pepanos,GRE,Men,400m freestyle men,Silver,0,1,0
Athens (1896),1896,Athletics,Athletics,Francis Lane,USA,Men,100m men,Bronze,0,0,1
Athens (1896),1896,Athletics,Athletics,Alajos Szokolyi,HUN,Men,100m men,Bronze,0,0,1
Athens (1896),1896,Athletics,Athletics,Thomas Burke,USA,Men,100m men,Gold,1,0,0
Athens (1896),1896,Athletics,Athletics,Fritz Hofmann,GER,Men,100m men,Silver,0,1,0
Athens (1896),1896,Athletics,Athletics,Thomas Curtis,USA,Men,110m hurdles men,Gold,1,0,0
Athens (1896),1896,Athletics,Athletics,Grantley Goulding,GBR,Men,110m hurdles men,Silver,0,1,0
Athens (1896),1896,Athletics,Athletics,Albin Lermusiaux,FRA,Men,1500m men,Bronze,0,0,1
Athens (1896),1896,Athletics,Athletics,Edwin Flack,AUS,Men,1500m men,Gold,1,0,0
Athens (1896),1896,Athletics,Athletics,Arthur Blake,USA,Men,1500m men,Silver,0,1,0
Athens (1896),1896,Athletics,Athletics,Charles Gmelin,GBR,Men,400m men,Bronze,0,0,1
Athens (1896),1896,Athletics,Athletics,Thomas Burke,USA,Men,400m men,Gold,1,0,0
Athens (1896),1896,Athletics,Athletics,Herbert Jamison,USA,Men,400m men,Silver,0,1,0
Athens (1896),1896,Athletics,Athletics,Dimitrios Golemis,GRE,Men,800m men,Bronze,0,0,1
Athens (1896),1896,Athletics,Athletics,Edwin Flack,AUS,Men,800m men,Gold,1,0,0
Athens (1896),1896,Athletics,Athletics,Nandor Dani,HUN,Men,800m men,Silver,0,1,0
Athens (1896),1896,Athletics,Athletics,Sotirios Versis,GRE,Men,discus throw men,Bronze,0,0,1
Athens (1896),1896,Athletics,Athletics,Robert Garrett,USA,Men,discus throw men,Gold,1,0,0
Athens (1896),1896,Athletics,Athletics,Panagiotis Paraskevopoulos,GRE,Men,discus throw men,Silver,0,1,0
Athens (1896),1896,Athletics,Athletics,Ellery Clark,USA,Men,high jump men,Gold,1,0,0
Athens (1896),1896,Athletics,Athletics,James Connolly,USA,Men,high jump men,Silver,0,1,0
Athens (1896),1896,Athletics,Athletics,Robert Garrett,USA,Men,high jump men,Silver,0,1,0
Athens (1896),1896,Athletics,Athletics,James Connolly,USA,Men,long jump men,Bronze,0,0,1
Athens (1896),1896,Athletics,Athletics,Ellery Clark,USA,Men,long jump men,Gold,1,0,0
Athens (1896),1896,Athletics,Athletics,Robert Garrett,USA,Men,long jump men,Silver,0,1,0
Athens (1896),1896,Athletics,Athletics,Gyula Kellner,HUN,Men,marathon men,Bronze,0,0,1
Athens (1896),1896,Athletics,Athletics,Spyridon Louis,GRE,Men,marathon men,Gold,1,0,0
Athens (1896),1896,Athletics,Athletics,Kharilaos Vasilakos,GRE,Men,marathon men,Silver,0,1,0
Athens (1896),1896,Athletics,Athletics,Evangelos Damaskos,GRE,Men,pole vault men,Bronze,0,0,1
Athens (1896),1896,Athletics,Athletics,Ioannis Theodoropoulos,GRE,Men,pole vault men,Bronze,0,0,1
Athens (1896),1896,Athletics,Athletics,William Welles Hoyt,USA,Men,pole vault men,Gold,1,0,0
Athens (1896),1896,Athletics,Athletics,Albert Tyler,USA,Men,pole vault men,Silver,0,1,0
Athens (1896),1896,Athletics,Athletics,Georgios Papasideris,GRE,Men,shot put men,Bronze,0,0,1
Athens (1896),1896,Athletics,Athletics,Robert Garrett,USA,Men,shot put men,Gold,1,0,0
Athens (1896),1896,Athletics,Athletics,Miltiadis Gouskos,GRE,Men,shot put men,Silver,0,1,0
Athens (1896),1896,Athletics,Athletics,Ioannis Persakis,GRE,Men,triple jump men,Bronze,0,0,1
Athens (1896),1896,Athletics,Athletics,James Connolly,USA,Men,triple jump men,Gold,1,0,0
Athens (1896),1896,Athletics,Athletics,Alexandre Tufferi,FRA,Men,triple jump men,Silver,0,1,0
Athens (1896),1896,Cycling,Cycling Road,Edward Battel,GBR,Men,individual road race men,Bronze,0,0,1
Athens (1896),1896,Cycling,Cycling Road,Aristidis Konstantinidis,GRE,Men,individual road race men,Gold,1,0,0
Athens (1896),1896,Cycling,Cycling Road,August Goedrich,GER,Men,individual road race men,Silver,0,1,0
Athens (1896),1896,Cycling,Cycling Track,Léon Flameng,FRA,Men,100km men,Gold,1,0,0
Athens (1896),1896,Cycling,Cycling Track,Georgios Kolettis,GRE,Men,100km men,Silver,0,1,0
Athens (1896),1896,Cycling,Cycling Track,Adolf Schmal,AUT,Men,10km men,Bronze,0,0,1
Athens (1896),1896,Cycling,Cycling Track,Paul Masson,FRA,Men,10km men,Gold,1,0,0
Athens (1896),1896,Cycling,Cycling Track,Léon Flameng,FRA,Men,10km men,Silver,0,1,0
Athens (1896),1896,Cycling,Cycling Track,Adolf Schmal,AUT,Men,12-hour race men,Gold,1,0,0
Athens (1896),1896,Cycling,Cycling Track,Frank Keeping,GBR,Men,12-hour race men,Silver,0,1,0
Athens (1896),1896,Cycling,Cycling Track,Adolf Schmal,AUT,Men,1km time trial men,Bronze,0,0,1
Athens (1896),1896,Cycling,Cycling Track,Paul Masson,FRA,Men,1km time trial men,Gold,1,0,0
Athens (1896),1896,Cycling,Cycling Track,Stamatios Nikolopoulos,GRE,Men,1km time trial men,Silver,0,1,0
Athens (1896),1896,Cycling,Cycling Track,Léon Flameng,FRA,Men,Sprint indivual men,Bronze,0,0,1
Athens (1896),1896,Cycling,Cycling Track,Paul Masson,FRA,Men,Sprint indivual men,Gold,1,0,0
Athens (1896),1896,Cycling,Cycling Track,Stamatios Nikolopoulos,GRE,Men,Sprint indivual men,Silver,0,1,0
Athens (1896),1896,Fencing,Fencing,Perikles Pierrakos-mavromichalis,GRE,Men,foil individual men,Bronze,0,0,1
Athens (1896),1896,Fencing,Fencing,Eugène-Henri Gravelotte,FRA,Men,foil individual men,Gold,1,0,0
Athens (1896),1896,Fencing,Fencing,Henri Callot,FRA,Men,foil individual men,Silver,0,1,0
Athens (1896),1896,Fencing,Fencing,Leonidas Pyrgos,GRE,Men,"foil, masters men",Gold,1,0,0
Athens (1896),1896,Fencing,Fencing,Maurice Perronnet,FRA,Men,"foil, masters men",Silver,0,1,0
Athens (1896),1896,Fencing,Fencing,Holger Nielsen,DEN,Men,sabre individual men,Bronze,0,0,1
Athens (1896),1896,Fencing,Fencing,Ioannis Georgiadis,GRE,Men,sabre individual men,Gold,1,0,0
Athens (1896),1896,Fencing,Fencing,Telemachos Karakalos,GRE,Men,sabre individual men,Silver,0,1,0
Athens (1896),1896,Gymnastics,Artistic Gymnastics,Hermann Weingärtner,GER,Men,horizontal bar men,Gold,1,0,0
Athens (1896),1896,Gymnastics,Artistic Gymnastics,Alfred Flatow,GER,Men,horizontal bar men,Silver,0,1,0
Athens (1896),1896,Gymnastics,Artistic Gymnastics,Alfred Flatow,GER,Men,parallel bars men,Gold,1,0,0
Athens (1896),1896,Gymnastics,Artistic Gymnastics,Louis Zutter,SUI,Men,parallel bars men,Silver,0,1,0
Athens (1896),1896,Gymnastics,Artistic Gymnastics,Louis Zutter,SUI,Men,pommel horse men,Gold,1,0,0
Athens (1896),1896,Gymnastics,Artistic Gymnastics,Hermann Weingärtner,GER,Men,pommel horse men,Silver,0,1,0
Athens (1896),1896,Gymnastics,Artistic Gymnastics,Petros Persakis,GRE,Men,rings men,Bronze,0,0,1
Athens (1896),1896,Gymnastics,Artistic Gymnastics,Ioannis Mitropoulos,GRE,Men,rings men,Gold,1,0,0
Athens (1896),1896,Gymnastics,Artistic Gymnastics,Hermann Weingärtner,GER,Men,rings men,Silver,0,1,0
Athens (1896),1896,Gymnastics,Artistic Gymnastics,Fritz Hofmann,GER,Men,rope climbing men,Bronze,0,0,1
Athens (1896),1896,Gymnastics,Artistic Gymnastics,Nicolaos Andriakopoulos,GRE,Men,rope climbing men,Gold,1,0,0
Athens (1896),1896,Gymnastics,Artistic Gymnastics,Thomasios Xenakis,GRE,Men,rope climbing men,Silver,0,1,0
Athens (1896),1896,Gymnastics,Artistic Gymnastics,Konrad Böcker,GER,Men,"team, horizontal bar men",Gold,1,0,0
Athens (1896),1896,Gymnastics,Artistic Gymnastics,Alfred Flatow,GER,Men,"team, horizontal bar men",Gold,1,0,0
Athens (1896),1896,Gymnastics,Artistic Gymnastics,Gustav Felix Flatow,GER,Men,"team, horizontal bar men",Gold,1,0,0
Athens (1896),1896,Gymnastics,Artistic Gymnastics,Georg Hilmar,GER,Men,"team, horizontal bar men",Gold,1,0,0
Athens (1896),1896,Gymnastics,Artistic Gymnastics,Fritz Hofmann,GER,Men,"team, horizontal bar men",Gold,1,0,0
Athens (1896),1896,Gymnastics,Artistic Gymnastics,Fritz Manteuffel,GER,Men,"team, horizontal bar men",Gold,1,0,0
Athens (1896),1896,Gymnastics,Artistic Gymnastics,Karl Neukirch,GER,Men,"team, horizontal bar men",Gold,1,0,0
Athens (1896),1896,Gymnastics,Artistic Gymnastics,Richard Röstel,GER,Men,"team, horizontal bar men",Gold,1,0,0
Athens (1896),1896,Gymnastics,Artistic Gymnastics,Gustav Schuft,GER,Men,"team, horizontal bar men",Gold,1,0,0
Athens (1896),1896,Gymnastics,Artistic Gymnastics,Carl Schumann,GER,Men,"team, horizontal bar men",Gold,1,0,0
Athens (1896),1896,Gymnastics,Artistic Gymnastics,Hermann Weingärtner,GER,Men,"team, horizontal bar men",Gold,1,0,0
Athens (1896),1896,Gymnastics,Artistic Gymnastics,Ioannis Chrysaphis,GRE,Men,"team, parallel bars men",Bronze,0,0,1
Athens (1896),1896,Gymnastics,Artistic Gymnastics,Phillippos Karvelas,GRE,Men,"team, parallel bars men",Bronze,0,0,1
Athens (1896),1896,Gymnastics,Artistic Gymnastics,Dimitrios Loundras,GRE,Men,"team, parallel bars men",Bronze,0,0,1
Athens (1896),1896,Gymnastics,Artistic Gymnastics,Ioannis Mitropoulos,GRE,Men,"team, parallel bars men",Bronze,0,0,1
Athens (1896),1896,Gymnastics,Artistic Gymnastics,Konrad Böcker,GER,Men,"team, parallel bars men",Gold,1,0,0
Athens (1896),1896,Gymnastics,Artistic Gymnastics,Alfred Flatow,GER,Men,"team, parallel bars men",Gold,1,0,0
Athens (1896),1896,Gymnastics,Artistic Gymnastics,Gustav Felix Flatow,GER,Men,"team, parallel bars men",Gold,1,0,0
Athens (1896),1896,Gymnastics,Artistic Gymnastics,Georg Hilmar,GER,Men,"team, parallel bars men",Gold,1,0,0
Athens (1896),1896,Gymnastics,Artistic Gymnastics,Fritz Hofmann,GER,Men,"team, parallel bars men",Gold,1,0,0
Athens (1896),1896,Gymnastics,Artistic Gymnastics,Fritz Manteuffel,GER,Men,"team, parallel bars men",Gold,1,0,0
Athens (1896),1896,Gymnastics,Artistic Gymnastics,Karl Neukirch,GER,Men,"team, parallel bars men",Gold,1,0,0
Athens (1896),1896,Gymnastics,Artistic Gymnastics,Richard Röstel,GER,Men,"team, parallel bars men",Gold,1,0,0
Athens (1896),1896,Gymnastics,Artistic Gymnastics,Gustav Schuft,GER,Men,"team, parallel bars men",Gold,1,0,0
Athens (1896),1896,Gymnastics,Artistic Gymnastics,Carl Schumann,GER,Men,"team, parallel bars men",Gold,1,0,0
Athens (1896),1896,Gymnastics,Artistic Gymnastics,Hermann Weingärtner,GER,Men,"team, parallel bars men",Gold,1,0,0
Athens (1896),1896,Gymnastics,Artistic Gymnastics,Nicolaos Andriakopoulos,GRE,Men,"team, parallel bars men",Silver,0,1,0
Athens (1896),1896,Gymnastics,Artistic Gymnastics,Spyros Athanasopoulos,GRE,Men,"team, parallel bars men",Silver,0,1,0
Athens (1896),1896,Gymnastics,Artistic Gymnastics,Petros Persakis,GRE,Men,"team, parallel bars men",Silver,0,1,0
Athens (1896),1896,Gymnastics,Artistic Gymnastics,Thomasios Xenakis,GRE,Men,"team, parallel bars men",Silver,0,1,0
Athens (1896),1896,Gymnastics,Artistic Gymnastics,Hermann Weingärtner,GER,Men,vault men,Bronze,0,0,1
Athens (1896),1896,Gymnastics,Artistic Gymnastics,Carl Schumann,GER,Men,vault men,Gold,1,0,0
Athens (1896),1896,Gymnastics,Artistic Gymnastics,Louis Zutter,SUI,Men,vault men,Silver,0,1,0
Athens (1896),1896,Shooting,Shooting,Nikolaos Morakis,GRE,Men,25m army pistol men,Bronze,0,0,1
Athens (1896),1896,Shooting,Shooting,John Paine,USA,Men,25m army pistol men,Gold,1,0,0
Athens (1896),1896,Shooting,Shooting,Sumner Paine,USA,Men,25m army pistol men,Silver,0,1,0
Athens (1896),1896,Shooting,Shooting,Holger Nielsen,DEN,Men,25m rapid fire pistol (60 shots) men,Bronze,0,0,1
Athens (1896),1896,Shooting,Shooting,Joannis Phrangoudis,GRE,Men,25m rapid fire pistol (60 shots) men,Gold,1,0,0
Athens (1896),1896,Shooting,Shooting,Georgios Orphanidis,GRE,Men,25m rapid fire pistol (60 shots) men,Silver,0,1,0
Athens (1896),1896,Shooting,Shooting,Joannis Phrangoudis,GRE,Men,50m pistol (60 shots) men,Bronze,0,0,1
Athens (1896),1896,Shooting,Shooting,Sumner Paine,USA,Men,50m pistol (60 shots) men,Gold,1,0,0
Athens (1896),1896,Shooting,Shooting,Holger Nielsen,DEN,Men,50m pistol (60 shots) men,Silver,0,1,0
Athens (1896),1896,Shooting,Shooting,Nicolaos Trikupis,GRE,Men,"army rifle, 200m men",Bronze,0,0,1
Athens (1896),1896,Shooting,Shooting,Pantelis Karasevdas,GRE,Men,"army rifle, 200m men",Gold,1,0,0
Athens (1896),1896,Shooting,Shooting,Pavlos Pavlidis,GRE,Men,"army rifle, 200m men",Silver,0,1,0
Athens (1896),1896,Shooting,Shooting,Viggo Jensen,DEN,Men,"army rifle, 300m men",Bronze,0,0,1
Athens (1896),1896,Shooting,Shooting,Georgios Orphanidis,GRE,Men,"army rifle, 300m men",Gold,1,0,0
Athens (1896),1896,Shooting,Shooting,Joannis Phrangoudis,GRE,Men,"army rifle, 300m men",Silver,0,1,0
Athens (1896),1896,Tennis,Tennis,Edwin Flack,ZZX,Men,doubles men,Bronze,0,0,1
Athens (1896),1896,Tennis,Tennis,George Stuart Robertson,ZZX,Men,doubles men,Bronze,0,0,1
Athens (1896),1896,Tennis,Tennis,John Boland,ZZX,Men,doubles men,Gold,1,0,0
Athens (1896),1896,Tennis,Tennis,Friedrich Traun,ZZX,Men,doubles men,Gold,1,0,0
Athens (1896),1896,Tennis,Tennis,Dionysios Kasdaglis,ZZX,Men,doubles men,Silver,0,1,0
Athens (1896),1896,Tennis,Tennis,Demetrios Petrokokkinos,ZZX,Men,doubles men,Silver,0,1,0
Athens (1896),1896,Tennis,Tennis,Konstantinos Paspatis,GRE,Men,singles men,Bronze,0,0,1
Athens (1896),1896,Tennis,Tennis,Momcsillo Tapavicza,HUN,Men,singles men,Bronze,0,0,1
Athens (1896),1896,Tennis,Tennis,John Boland,GBR,Men,singles men,Gold,1,0,0
Athens (1896),1896,Tennis,Tennis,Dionysios Kasdaglis,GRE,Men,singles men,Silver,0,1,0
Athens (1896),1896,Weightlifting,Weightlifting,Alexandros Nikolopoulos,GRE,Men,heavyweight - one hand lift men,Bronze,0,0,1
Athens (1896),1896,Weightlifting,Weightlifting,Launceston Elliott,GBR,Men,heavyweight - one hand lift men,Gold,1,0,0
Athens (1896),1896,Weightlifting,Weightlifting,Viggo Jensen,DEN,Men,heavyweight - one hand lift men,Silver,0,1,0
Athens (1896),1896,Weightlifting,Weightlifting,Sotirios Versis,GRE,Men,heavyweight - two hand lift men,Bronze,0,0,1
Athens (1896),1896,Weightlifting,Weightlifting,Viggo Jensen,DEN,Men,heavyweight - two hand lift men,Gold,1,0,0
Athens (1896),1896,Weightlifting,Weightlifting,Launceston Elliott,GBR,Men,heavyweight - two hand lift men,Silver,0,1,0
Athens (1896),1896,Wrestling,Wrestling Greco-Romano,Stephanos Christopoulos,GRE,Men,open event men,Bronze,0,0,1
Athens (1896),1896,Wrestling,Wrestling Greco-Romano,Carl Schumann,GER,Men,open event men,Gold,1,0,0
Athens (1896),1896,Wrestling,Wrestling Greco-Romano,Georgios Tsitas,GRE,Men,open event men,Silver,0,1,0
Paris (1900),1900,Aquatics,Swimming,Zoltan Halmay,HUN,Men,1500m freestyle men,Bronze,0,0,1
Paris (1900),1900,Aquatics,Swimming,John Arthur Jarvis,GBR,Men,1500m freestyle men,Gold,1,0,0
Paris (1900),1900,Aquatics,Swimming,Otto Wahle,AUT,Men,1500m freestyle men,Silver,0,1,0
Paris (1900),1900,Aquatics,Swimming,Johannes Drost,NED,Men,200m backstroke men,Bronze,0,0,1
Paris (1900),1900,Aquatics,Swimming,Ernst Hoppenberg,GER,Men,200m backstroke men,Gold,1,0,0
Paris (1900),1900,Aquatics,Swimming,Karl Ruberl,AUT,Men,200m backstroke men,Silver,0,1,0
Paris (1900),1900,Aquatics,Swimming,Karl Ruberl,AUT,Men,200m freestyle men,Bronze,0,0,1
Paris (1900),1900,Aquatics,Swimming,Frederick C.V. Lane,AUS,Men,200m freestyle men,Gold,1,0,0
Paris (1900),1900,Aquatics,Swimming,Zoltan Halmay,HUN,Men,200m freestyle men,Silver,0,1,0
Paris (1900),1900,Aquatics,Swimming,Peter Kemp,GBR,Men,200m obstacle event men,Bronze,0,0,1
Paris (1900),1900,Aquatics,Swimming,Frederick C.V. Lane,AUS,Men,200m obstacle event men,Gold,1,0,0
Paris (1900),1900,Aquatics,Swimming,Otto Wahle,AUT,Men,200m obstacle event men,Silver,0,1,0
Paris (1900),1900,Aquatics,Swimming,Houben,FRA,Men,200m team swimming men,Bronze,0,0,1
Paris (1900),1900,Aquatics,Swimming,Jean Leuillieux,FRA,Men,200m team swimming men,Bronze,0,0,1
Paris (1900),1900,Aquatics,Swimming,Louis Martin,FRA,Men,200m team swimming men,Bronze,0,0,1
Paris (1900),1900,Aquatics,Swimming,Désiré Merchez,FRA,Men,200m team swimming men,Bronze,0,0,1
Paris (1900),1900,Aquatics,Swimming,Tartara,FRA,Men,200m team swimming men,Bronze,0,0,1
Paris (1900),1900,Aquatics,Swimming,Julius Frey,GER,Men,200m team swimming men,Gold,1,0,0
Paris (1900),1900,Aquatics,Swimming,Max Hainle,GER,Men,200m team swimming men,Gold,1,0,0
Paris (1900),1900,Aquatics,Swimming,Ernst Hoppenberg,GER,Men,200m team swimming men,Gold,1,0,0
Paris (1900),1900,Aquatics,Swimming,Max Schöne,GER,Men,200m team swimming men,Gold,1,0,0
Paris (1900),1900,Aquatics,Swimming,Herbert Von petersdorff,GER,Men,200m team swimming men,Gold,1,0,0
Paris (1900),1900,Aquatics,Swimming,Bertrand,FRA,Men,200m team swimming men,Silver,0,1,0
Paris (1900),1900,Aquatics,Swimming,Cadet,FRA,Men,200m team swimming men,Silver,0,1,0
Paris (1900),1900,Aquatics,Swimming,Maurice Hochepied,FRA,Men,200m team swimming men,Silver,0,1,0
Paris (1900),1900,Aquatics,Swimming,Victor Hochepied,FRA,Men,200m team swimming men,Silver,0,1,0
Paris (1900),1900,Aquatics,Swimming,Verbecke,FRA,Men,200m team swimming men,Silver,0,1,0
Paris (1900),1900,Aquatics,Swimming,Louis Martin,FRA,Men,4000m freestyle men,Bronze,0,0,1
Paris (1900),1900,Aquatics,Swimming,John Arthur Jarvis,GBR,Men,4000m freestyle men,Gold,1,0,0
Paris (1900),1900,Aquatics,Swimming,Zoltan Halmay,HUN,Men,4000m freestyle men,Silver,0,1,0
Paris (1900),1900,Aquatics,Swimming,Peder Lykkeberg,DEN,Men,underwater swimming men,Bronze,0,0,1
Paris (1900),1900,Aquatics,Swimming,Charles De vendeville,FRA,Men,underwater swimming men,Gold,1,0,0
Paris (1900),1900,Aquatics,Swimming,André Six,FRA,Men,underwater swimming men,Silver,0,1,0
Paris (1900),1900,Aquatics,Water polo,Thomas Burgess,FRA,Men,water polo men,Bronze,0,0,1
Paris (1900),1900,Aquatics,Water polo,Coulon,FRA,Men,water polo men,Bronze,0,0,1
Paris (1900),1900,Aquatics,Water polo,Alphonse Decuyper,FRA,Men,water polo men,Bronze,0,0,1
Paris (1900),1900,Aquatics,Water polo,Devenot,FRA,Men,water polo men,Bronze,0,0,1
Paris (1900),1900,Aquatics,Water polo,Fardelle,FRA,Men,water polo men,Bronze,0,0,1
Paris (1900),1900,Aquatics,Water polo,Favier,FRA,Men,water polo men,Bronze,0,0,1
Paris (1900),1900,Aquatics,Water polo,Louis Laufray,FRA,Men,water polo men,Bronze,0,0,1
Paris (1900),1900,Aquatics,Water polo,Leriche,FRA,Men,water polo men,Bronze,0,0,1
Paris (1900),1900,Aquatics,Water polo,Louis Martin,FRA,Men,water polo men,Bronze,0,0,1
Paris (1900),1900,Aquatics,Water polo,Désiré Merchez,FRA,Men,water polo men,Bronze,0,0,1
Paris (1900),1900,Aquatics,Water polo,Henri Peslier,FRA,Men,water polo men,Bronze,0,0,1
Paris (1900),1900,Aquatics,Water polo,Pesloy,FRA,Men,water polo men,Bronze,0,0,1
Paris (1900),1900,Aquatics,Water polo,Charles Treffel,FRA,Men,water polo men,Bronze,0,0,1
Paris (1900),1900,Aquatics,Water polo,Paul Vasseur,FRA,Men,water polo men,Bronze,0,0,1
Paris (1900),1900,Aquatics,Water polo,Thomas Coe,GBR,Men,water polo men,Gold,1,0,0
Paris (1900),1900,Aquatics,Water polo,John Henry Derbyshire,GBR,Men,water polo men,Gold,1,0,0
Paris (1900),1900,Aquatics,Water polo,Peter Kemp,GBR,Men,water polo men,Gold,1,0,0
Paris (1900),1900,Aquatics,Water polo,William Lister,GBR,Men,water polo men,Gold,1,0,0
Paris (1900),1900,Aquatics,Water polo,Arthur Robertson,GBR,Men,water polo men,Gold,1,0,0
Paris (1900),1900,Aquatics,Water polo,Eric Robinson,GBR,Men,water polo men,Gold,1,0,0
Paris (1900),1900,Aquatics,Water polo,George Wilkinson,GBR,Men,water polo men,Gold,1,0,0
Paris (1900),1900,Aquatics,Water polo,Henri Cohen,BEL,Men,water polo men,Silver,0,1,0
Paris (1900),1900,Aquatics,Water polo,Jean De backer,BEL,Men,water polo men,Silver,0,1,0
Paris (1900),1900,Aquatics,Water polo,Victor De behr,BEL,Men,water polo men,Silver,0,1,0
Paris (1900),1900,Aquatics,Water polo,Fernand Feyaerts,BEL,Men,water polo men,Silver,0,1,0
Paris (1900),1900,Aquatics,Water polo,Oscar Gregoire,BEL,Men,water polo men,Silver,0,1,0
Paris (1900),1900,Aquatics,Water polo,Albert Michant,BEL,Men,water polo men,Silver,0,1,0
Paris (1900),1900,Aquatics,Water polo,Victor Sonnemans,BEL,Men,water polo men,Silver,0,1,0
Paris (1900),1900,Archery,Archery,Charles Frédéric Petit,FRA,Men,"au chapelet, 33m men",Bronze,0,0,1
Paris (1900),1900,Archery,Archery,Hubert Van innis,BEL,Men,"au chapelet, 33m men",Gold,1,0,0
Paris (1900),1900,Archery,Archery,Victor Thibaud,FRA,Men,"au chapelet, 33m men",Silver,0,1,0
Paris (1900),1900,Archery,Archery,Emile Mercier,FRA,Men,"au chapelet, 50m men",Bronze,0,0,1
Paris (1900),1900,Archery,Archery,Eugène Mougin,FRA,Men,"au chapelet, 50m men",Gold,1,0,0
Paris (1900),1900,Archery,Archery,Henri Helle,FRA,Men,"au chapelet, 50m men",Silver,0,1,0
Paris (1900),1900,Archery,Archery,Charles Frédéric Petit,FRA,Men,"au cordon doré, 33m men",Bronze,0,0,1
Paris (1900),1900,Archery,Archery,Hubert Van innis,BEL,Men,"au cordon doré, 33m men",Gold,1,0,0
Paris (1900),1900,Archery,Archery,Victor Thibaud,FRA,Men,"au cordon doré, 33m men",Silver,0,1,0
Paris (1900),1900,Archery,Archery,Emile Fisseux,FRA,Men,"au cordon doré, 50m men",Bronze,0,0,1
Paris (1900),1900,Archery,Archery,Henri Herouin,FRA,Men,"au cordon doré, 50m men",Gold,1,0,0
Paris (1900),1900,Archery,Archery,Hubert Van innis,BEL,Men,"au cordon doré, 50m men",Silver,0,1,0
Paris (1900),1900,Archery,Archery,Emmanuel Foulon,BEL,Men,sur la perche à la herse men,Gold,1,0,0
Paris (1900),1900,Archery,Archery,Jr. Druart,BEL,Men,sur la perche à la herse men,Silver,0,1,0
Paris (1900),1900,Archery,Archery,Auguste Serrurier,FRA,Men,sur la perche à la herse men,Silver,0,1,0
Paris (1900),1900,Archery,Archery,Louis Glineux,BEL,Men,sur la perche à la pyramide men,Bronze,0,0,1
Paris (1900),1900,Archery,Archery,Emile Grumiaux,FRA,Men,sur la perche à la pyramide men,Gold,1,0,0
Paris (1900),1900,Archery,Archery,Auguste Serrurier,FRA,Men,sur la perche à la pyramide men,Silver,0,1,0
Paris (1900),1900,Athletics,Athletics,Stanley Rowley,AUS,Men,100m men,Bronze,0,0,1
Paris (1900),1900,Athletics,Athletics,Francis Jarvis,USA,Men,100m men,Gold,1,0,0
Paris (1900),1900,Athletics,Athletics,Walter B. John Tewksbury,USA,Men,100m men,Silver,0,1,0
Paris (1900),1900,Athletics,Athletics,Frederick Moloney,USA,Men,110m hurdles men,Bronze,0,0,1
Paris (1900),1900,Athletics,Athletics,Alvin Kraenzlein,USA,Men,110m hurdles men,Gold,1,0,0
Paris (1900),1900,Athletics,Athletics,John Mclean,USA,Men,110m hurdles men,Silver,0,1,0
Paris (1900),1900,Athletics,Athletics,John Bray,USA,Men,1500m men,Bronze,0,0,1
Paris (1900),1900,Athletics,Athletics,Charles Bennett,GBR,Men,1500m men,Gold,1,0,0
Paris (1900),1900,Athletics,Athletics,Henri Deloge,FRA,Men,1500m men,Silver,0,1,0
Paris (1900),1900,Athletics,Athletics,Stanley Rowley,AUS,Men,200m men,Bronze,0,0,1
Paris (1900),1900,Athletics,Athletics,Walter B. John Tewksbury,USA,Men,200m men,Gold,1,0,0
Paris (1900),1900,Athletics,Athletics,Norman Pritchard,IND,Men,200m men,Silver,0,1,0
Paris (1900),1900,Athletics,Athletics,Walter B. John Tewksbury,USA,Men,200m hurdles men,Bronze,0,0,1
Paris (1900),1900,Athletics,Athletics,Alvin Kraenzlein,USA,Men,200m hurdles men,Gold,1,0,0
Paris (1900),1900,Athletics,Athletics,Norman Pritchard,IND,Men,200m hurdles men,Silver,0,1,0
Paris (1900),1900,Athletics,Athletics,Jacques Chastanie,FRA,Men,3000m steeplechase men,Bronze,0,0,1
Paris (1900),1900,Athletics,Athletics,George Orton,CAN,Men,3000m steeplechase men,Gold,1,0,0
Paris (1900),1900,Athletics,Athletics,Sidney Robinson,GBR,Men,3000m steeplechase men,Silver,0,1,0
