unit,geo\time	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 
THS_PAS,ES	600547 	575572 	567854 	563801 	563269 	568596 	579174 	563505 	578265 	614514 	620421 	628832 	615685 	593847 	: 
THS_PAS,EU27	: c	: c	: c	: c	: c	: 	: c	: c	: c	: c	8186837 	7993377 	: 	: 	: 
THS_PAS,EU28	: c	: c	: c	: c	: c	: 	: c	: c	: c	: c	8249810 	8039421 	: 	: 	: 
THS_PAS,FI	85703 	82114 	75952 	68262 	69318 	69331 	68376 	68950 	67555 	69937 	66685 	63803 	63493 	60134 	: 
THS_PAS,FR	1277479 	1236523 	1204201 	1157679 	1164822 	1150297 	: c	: c	1101640 	1093033 	1065423 	1021931 	983766 	943899 	: 
THS_PAS,HR	19803 	20709 	21649 	21889 	24216 	27576 	49852 	69421 	73402 	70800 	62973 	46044 	39706 	36600 	: 
THS_PAS,HU	: c	: c	: c	146010 	148379 	147688 	145561 	140398 	142690 	144900 	149551 	156628 	153508 	159991 	: 
THS_PAS,IE	45505 	42820 	39660 	38517 	37130 	36918 	37375 	38226 	38812 	44647 	45511 	43352 	37655 	34555 	: 
THS_PAS,IT	864570 	869199 	872623 	864123 	854756 	854836 	: c	838892 	799873 	802440 	774480 	753536 	759863 	728177 	: 
THS_PAS,LI	91 	96 	95 	97 	96 	96 	96 	96 	97 	97 	97 	121 	120 	119 	: 
THS_PAS,LT	4176 	3916 	3790 	4126 	4346 	4251 	4127 	3795 	3819 	4447 	4478 	5489 	6081 	6282 	: 
THS_PAS,LU	22930 	22459 	22496 	21503 	20549 	19691 	18200 	17995 	17039 p	17676 	16442 	14793 	13937 	13520 	: 
THS_PAS,LV	17494 	17228 	17065 	19190 	19730 	19707 	20447 	20804 	21504 	26702 	27380 	27387 	25915 	23825 	: 
THS_PAS,ME	927 	1285 	1236 	1122 	922 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_PAS,MK	500 	663 	1022 	803 	853 	1013 	1421 	1512 	1524 	: 	: 	: 	: 	: 	: 
THS_PAS,MT	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z
THS_PAS,NL	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	368034 	347831 	339020 	326953 	: 
THS_PAS,NO	73561 	74293 	73836 	70341 	67251 	62689 	59384 	59304 	57937 p	59071 	56808 	54695 	52559 	50650 	: 
THS_PAS,PL	295394 	285094 	269664 	260260 	262382 	266011 	239054 	241976 	264177 	272859 	265995 	254777 	251383 	265677 	: 
THS_PAS,PT	142127 	133472 	130421 	128295 	126079 	132212 	149189 	152997 	153794 	158455 	156712 	150365 	151384 	152786 	: 
THS_PAS,RO	69056 	64455 	66479 	64751 	57393 	57530 	60971 	64272 	70332 	78252 	88263 	94441 	92424 	99433 	: 
THS_PAS,SE	228900 	220945 	214434 	207280 	200706 	193163 	187055 	179343 	179095 	178929 	169061 	159067 	150058 	146615 	: 
THS_PAS,SI	13002 	13650 	14135 	14435 	15995 	15086 	15317 	15782 	15971 	16257 	15716 	15750 	15402 	14455 	: 
THS_PAS,SK	74916 	69150 	60292 	49098 	45946 	44609 	47453 	46509 	46597 	48655 	46984 	48438 	50458 	50325 	: 
THS_PAS,TR	85338 	89038 	95318 	78403 	46442 	70284 	85752 	84174 	80093 	79187 	81260 	77414 	76306 	76756 	: 
THS_PAS,UK	1757359 	1772563 	1741562 	1679746 	1599484 	1543261 	1463068 	1365918 	1270934 	1304120 	1238186 	1156726 	1103610 	1069673 	: 
